공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
SK하이닉스시스템아이씨㈜ 각 부문 신입 및 경력 직원 채용,SK하이닉스시스템아이씨㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39911432?Oem_Code=C1&logpath=1&stext=파이썬&listno=24,충북 청주시 외,~10/18(화),"['신입·경력3년↑', '대졸↑', '정규직']","연구개발, C-language, pearl, 자동제어, 전기, 전기기사, 전기기술, 전기설계, 교수설계, 교육기획, 급여관리, 노사관리, 성과관리, 인사, 인사기획, 인사통합, 직무분석, MBO, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 업무제휴, 프로모션, AE, 웹프로그래머, Java, MySQL, Python, 응용프로그래머, C, C#, Linux, Oracle, Python, 기술연구소, 디스플레이, 반도체, 연구관리, 연구원, 전기·전자, 제어, 제품개발, 회로설계, 유지보수, 전기, 전기·전자회로, 전기설비, 하드웨어, 회로설계, 반도체·LCD"
2022년 R&D분야 신입석사 채용(17차) - 무선망(5G) AI제어 기술개발,케이티,https://www.jobkorea.co.kr/Recruit/GI_Read/39911318?Oem_Code=C1&logpath=1&stext=파이썬&listno=25,대전 서구,~10/28(금),"['신입', '석사↑', '정규직']","회로설계, 서비스개발, 메타버스, GPT, 데이터베이스, C, C++, Embedded, Java, Python, Python, 인공지능(AI), 머신러닝(ML), 딥러닝, 자연어처리(NLP), 펌웨어, 소프트웨어, 3D설계, 로봇·자동화"
2022년 R&D분야 신입석사 채용(17차) - 네트워크 AI Core 기술 개발,케이티,https://www.jobkorea.co.kr/Recruit/GI_Read/39911231?Oem_Code=C1&logpath=1&stext=파이썬&listno=26,대전 서구,~10/28(금),"['신입', '석사↑', '정규직']","회로설계, 서비스개발, 메타버스, GPT, 데이터베이스, C, C++, Embedded, Java, Python, Python, 인공지능(AI), 머신러닝(ML), 딥러닝, 자연어처리(NLP), 펌웨어, 소프트웨어, 3D설계, 로봇·자동화"
한국자동차연구원 2022년도 12월 별정직(계약직) 직원 모집,한국자동차연구원,https://www.jobkorea.co.kr/Recruit/GI_Read/39905873?Oem_Code=C1&logpath=1&stext=파이썬&listno=27,충남 천안시 외,~10/21(금),"['신입·경력', '초대졸↑', '계약직']","자동제어, 전기, 전기기술, 전기제어, 전자, 제어, Firmware, FPCB, 자동차, 자동차부품, 기획, 사업기획, 서비스기획, 전략, 관리, 특허업무, 홍보, 홍보기획, 해외마케팅, 무역영어, 시스템운영, 웹기획, 웹서비스기획, 컨텐츠기획, 통계·로그분석, 웹프로그래머, MS-SQL, MySQL, Python, .NET, 응용프로그래머, 전산전공, API, Application, C, Embedded, Java, Linux, Oracle, Python, SQL, Unix, 가상현실, 시스템프로그래머, 임베디드, 시스템분석, 시스템설계, 시스템엔지니어, 인공지능(AI), 빅데이터, 데이터분석, 소프트웨어, 안전, 품질, 품질검사, 품질관리, 품질보증, 환경관리, QA, 건축, 기계, 기구설계, 기술연구소, 기술직, 메카트로닉스, 생산기술, 연구관리, 제품개발, R&D, 기술직, 생산기술, 연구원, PCB, R&D, 전기, 전기·전자회로, 테스트엔지니어, 펌웨어, 회로설계, FAE, FPGA, OrCAD, RF, 무선통신, 정보통신, 바이오, 건설안전, 산업안전, 안전, 산업안전, 안전, 변리사, 특허출원, 전기·전자, 정보통신·IT, 환경, 기계·자동차, 로봇·자동화, 반도체·LCD, 연구·실험·기술"
2022년 R&D분야 신입석사 채용 (17차),케이티,https://www.jobkorea.co.kr/Recruit/GI_Read/39910310?Oem_Code=C1&logpath=1&stext=파이썬&listno=28,대전 서구 외,~10/28(금),"['신입·경력', '석사↑', '정규직']","회로설계, 서비스개발, 메타버스, GPT, 데이터베이스, C, C++, Embedded, Java, Python, Python, 인공지능(AI), 머신러닝(ML), 딥러닝, 자연어처리(NLP), 펌웨어, 소프트웨어, 3D설계, 로봇·자동화"
소프트웨어 개발분야(컴퓨터 전공) 신입 및 경력 모집,케이엠아이시스템㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39895727?Oem_Code=C1&logpath=1&stext=파이썬&listno=29,충북 충주시 외,~11/05(토),"['신입·경력3년↑', '초대졸↑', '정규직']","전기제어, 전자계산, labview, 자동제어, 전기, 전자계산, 전자회로, PLC, C, C#, C++, Delphi, Python, 소프트웨어, 설계엔지니어, 전기, 전기·전자회로, 테스트엔지니어"
2022년 10월 경력사원 모집 (제조지능화센터-제조지능화 기획),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892757?Oem_Code=C1&logpath=1&stext=파이썬&listno=30,충북 청주시,~10/18(화),"['경력', '충북', '충북 청주시']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-예지보전),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892696?Oem_Code=C1&logpath=1&stext=파이썬&listno=31,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-공정제어/설비제어),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892643?Oem_Code=C1&logpath=1&stext=파이썬&listno=32,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-AI),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892579?Oem_Code=C1&logpath=1&stext=파이썬&listno=33,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-MLOps),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892527?Oem_Code=C1&logpath=1&stext=파이썬&listno=34,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-빅데이터 분석),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892474?Oem_Code=C1&logpath=1&stext=파이썬&listno=35,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-지능화기반 구축),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39892399?Oem_Code=C1&logpath=1&stext=파이썬&listno=36,충북 청주시,~10/18(화),"['경력', '충북', '충북 청주시']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-기준정보 시스템),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39891956?Oem_Code=C1&logpath=1&stext=파이썬&listno=37,충북 청주시,~10/18(화),"['경력', '충북', '충북 청주시']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-설비환경 시스템),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39891900?Oem_Code=C1&logpath=1&stext=파이썬&listno=38,충북 청주시,~10/18(화),"['경력', '충북', '충북 청주시']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터-생산실행 시스템 구축/운영),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39891813?Oem_Code=C1&logpath=1&stext=파이썬&listno=39,충북 청주시,~10/18(화),"['경력', '충북', '충북 청주시']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
