공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
"세종컴퓨터학원 IT 강사님 모집(프리랜서 코딩,OA)",세종컴퓨터학원,https://www.jobkorea.co.kr/Recruit/GI_Read/39575445?Oem_Code=C1&logpath=1&stext=파이썬&listno=96,대전 전지역 외,상시채용,"['경력무관', '초대졸↑', '프리랜서']","IT학원, C, C#, C++, Java, Python, 프로그램강의, OA강의"
"소프트웨어(SW) 개발자, 디자이너 신입 및 경력자모집",델타인덱스,https://www.jobkorea.co.kr/Recruit/GI_Read/39561529?Oem_Code=C1&logpath=1&stext=파이썬&listno=97,대전 유성구 외,~11/01(화),"['경력무관', '대졸↑', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, BigData, C#, C++, Java, Python, VisualC, 웹UI, GUI, UI·UX디자인, 3D, 그래픽디자인, 백터3D, 일러스트레이터, 포토샵"
Technical Support Engineer 채용,㈜시스트란,https://www.jobkorea.co.kr/Recruit/GI_Read/39554639?Oem_Code=C1&logpath=1&stext=파이썬&listno=98,대전 서구,~11/30(수),"['경력3년↑', '학력무관', '정규직']","소프트웨어개발, 솔루션, BigData, 웹프로그래머, Java, C, Java, Linux, Python, 유지보수"
(주)위즈코리아 `22년도 하반기 직무별 신입/경력자 정기 채용,㈜위즈코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/39535537?Oem_Code=C1&logpath=1&stext=파이썬&listno=99,대전 전지역 외,~11/29(화),"['신입·경력3년↑', '초대졸↑', '정규직 외']","제품기획, 화면기획, UI/UX기획, UI기획, UX기획, UI·UX디자인, 소프트웨어개발, 솔루션, BigData, 네트워크보안, 보안소프트웨어, 보안ASP, 사업기획, 전략, 관리, 법무, 사무관리, 사무행정, 총무, 인사, 인재개발, 채용·면접, 비서, 임원비서, 재무, 재무회계, 브랜드, 언론홍보, 홍보, 홍보기획, PR, SNS운영, 기술영업, 기술지원, 솔루션영업, 시스템영업, 신기술영업, 검증, 테스터, QA, 네트워크관리, 네트워크엔지니어, 보안관리, 보안기술, 서버구축, 시스템운영, 정보보안, Linux, Unix, 스토리보드, 웹기획, 웹서비스기획, 컨텐츠기획, PM, UI설계, 소셜마케팅, 웹마케팅, 웹프로그래머, AJAX, Java, jsp, SCJP, 병역특례, 응용프로그래머, 전산전공, ABAP, Application, C, C#, C++, Java, Python, SAP, SQL, WAS, 웹퍼블리셔, 웹표준, CSS, CSS3, HTML5, HTML코딩, UI·UX, 자바스크립트, 포토샵, CSS, HTML, UI·UX디자인, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, 하둡(Hadoop), R, tensorflow, 자연어처리(NLP), 유지보수, 소프트웨어, 포토샵, 베트남어"
[취업교육]웹퍼블리셔 및 프론트엔드 웹개발자 양성 국비지원 연수생 모집,TIS정보기술교육센터,https://www.jobkorea.co.kr/Recruit/GI_Read/39497771?Oem_Code=C1&logpath=1&stext=파이썬&listno=100,대전 전지역 외,~11/24(목),"['신입·경력', '학력무관', '연수생/교육생']","UI·UX디자인, 모바일앱개발, 소프트웨어개발, 솔루션, BigData, SI, 네트웍구축, IDC, 공무, 관리, 문서관리, 사무관리, 사무행정, 문서작성, 정보처리, 홈페이지관리, Excel, OA, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, PM, 웹프로그래머, AJAX, Java, jsp, Python, 안드로이드, 응용프로그래머, 전산전공, Java, Oracle, 쇼핑몰, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, CSS3, HTML5, HTML코딩, 모바일UI, 자바스크립트, CSS, HTML, UI·UX디자인, 그래픽디자인, 시각디자인, 포토샵, GUI, 광고디자인, 디지털디자인, 시각디자인, 정보디자인"
"한국통계정보원 [SW분야] 직원(경력,신입) 모집 공고",재단법인 한국통계정보원,https://www.jobkorea.co.kr/Recruit/GI_Read/39500159?Oem_Code=C1&logpath=1&stext=파이썬&listno=101,대전 서구,~11/24(목),"['신입·경력3년↑', '초대졸↑', '계약직']","유지보수, DBA, 데이터마이닝, MySQL, Python, SQL, 유지보수"
[Perigee] Flight Control 엔지니어 및 테크니션 전 부문 모집,페리지에어로스페이스㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39499982?Oem_Code=C1&logpath=1&stext=파이썬&listno=102,대전 대덕구,~11/24(목),"['경력무관', '학력무관', '정규직 외']","항공, 병역특례, C, C++, Python, SQL, 기계, 기구설계, 제어, 제품개발, R&D, 조선·항공·우주"
"인공지능, 딥러닝 연구 개발자 모집",㈜에이투마인드,https://www.jobkorea.co.kr/Recruit/GI_Read/39492204?Oem_Code=C1&logpath=1&stext=파이썬&listno=103,대전 유성구 외,~11/24(목),"['경력무관', '대졸↑', '정규직']","소프트웨어개발, SI, Python, 인공지능(AI), 딥러닝"
프로그래머 채용 공고,엘컴텍,https://www.jobkorea.co.kr/Recruit/GI_Read/39482289?Oem_Code=C1&logpath=1&stext=파이썬&listno=104,대전 서구,~11/23(수),"['경력무관', '대졸↑', '정규직']","소프트웨어개발, 솔루션, 웹프로그래머, Python"
소프트웨어 개발자 모집 (신입/경력 정규직),㈜하늘소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39476973?Oem_Code=C1&logpath=1&stext=파이썬&listno=105,대전 유성구,~11/22(화),"['경력무관', '대졸↑', '정규직']","소프트웨어개발, 솔루션, SI, .NET, 웹프로그래머, MySQL, Python, .NET, 응용프로그래머, C, C++, Python, 인공지능(AI), 빅데이터, 딥러닝, 챗봇(Chatbot)"
인공지능 알고리즘 개발 신입 및 경력사원 모집,가온플랫폼㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39475778?Oem_Code=C1&logpath=1&stext=파이썬&listno=106,대전 유성구 외,상시채용,"['경력무관', '대졸↑', '정규직']","소프트웨어개발, BigData, 모델링, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), tensorflow"
앱개발자 경력직 채용,초록테크,https://www.jobkorea.co.kr/Recruit/GI_Read/39465273?Oem_Code=C1&logpath=1&stext=파이썬&listno=107,대전 중구 외,상시채용,"['경력2년↑', '학력무관', '정규직']","모바일, 스마트폰, 안드로이드, MySQL, SQL, 안드로이드, Java, Python, SQL"
[IT서비스분야] JAVA/JSP/PHP 웹프로그래머 모집,㈜올림커뮤니케이션즈,https://www.jobkorea.co.kr/Recruit/GI_Read/39451358?Oem_Code=C1&logpath=1&stext=파이썬&listno=108,충북 청주시 외,상시채용,"['신입·경력', '학력무관', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, BigData, DataMining, 데이터베이스, MS-SQL, MySQL, SQL, 데이터마이닝, 보안관리, 보안관제, 서버관리자, 서버구축, 시스템운영, Java, jsp, MySQL, php, Python"
[강사 경력직] 2022년 하반기 분야별 전임 및 시간교사 모집,동양직업전문학교,https://www.jobkorea.co.kr/Recruit/GI_Read/39421091?Oem_Code=C1&logpath=1&stext=파이썬&listno=109,충남 천안시 외,~10/31(월),"['경력', '초대졸↑', '정규직']","UI·UX디자인, 디자인학원, 어학원, 영어학원, 학원강사, 디자인, CAD, 세무, 전산회계, 회계, C, C++, Java, Python, 일러스트레이터, 포토샵, 플래쉬, UI·UX디자인, 디자인강의, 프로그램강의, OA강의, 3D설계, 건축설계, 기계설계, AutoCad, CAD, 3DMax, 건축설계, 인테리어설계, CAD, 디자인, 컴퓨터학원강사, IT학원강사, CAD강사, 직업훈련교사"
"IT 프로그래밍 (자바, 빅데이터, AI, 클라우드 등) 훈련교사 채용",(주)지아이티아카데미 부산2,https://www.jobkorea.co.kr/Recruit/GI_Read/39407895?Oem_Code=C1&logpath=1&stext=파이썬&listno=110,대전 전지역 외,~11/16(수),"['경력2년↑', '초대졸↑', '정규직 외']","디자인학원, 실기교사, 학원강사, IT학원, 웹프로그래머, Java, php, Python, SQL, 응용프로그래머, C, C++, Java, SQL, 일반학원강사, 컴퓨터학원강사, IT학원강사, 직업훈련교사, 전문직업강사"
MES(스마트팩토리) 개발자,㈜에잇핀,https://www.jobkorea.co.kr/Recruit/GI_Read/39370608?Oem_Code=C1&logpath=1&stext=파이썬&listno=111,충북 청주시 외,~11/13(일),"['신입·경력', '초대졸↑', '정규직 외']","모바일앱개발, 소프트웨어개발, 솔루션, MS-SQL, Oracle, SQL, C#, Java, Oracle, Python, 시스템분석, 시스템설계"
AI 및 JAVA 개발자 모집,㈜네오포스,https://www.jobkorea.co.kr/Recruit/GI_Read/39360909?Oem_Code=C1&logpath=1&stext=파이썬&listno=112,대전 유성구,~11/10(목),"['경력무관', '대졸↑', '정규직']","소프트웨어개발, 솔루션, Java, Python"
[로봇사업본부] PM 직무 채용,㈜트위니,https://www.jobkorea.co.kr/Recruit/GI_Read/39343932?Oem_Code=C1&logpath=1&stext=파이썬&listno=113,대전 유성구 외,~11/09(수),"['경력무관', '학력무관', '정규직']","소프트웨어개발, 모바일기획, 웹기획, 웹서비스기획, PM, UI설계, 모바일UI, 웹UI, 자바스크립트, HTML, UI·UX디자인, Python, R"
[로봇사업본부] PO 직무 채용,㈜트위니,https://www.jobkorea.co.kr/Recruit/GI_Read/39343921?Oem_Code=C1&logpath=1&stext=파이썬&listno=114,대전 유성구 외,~11/09(수),"['경력무관', '학력무관', '정규직']","소프트웨어개발, 모바일기획, 웹기획, 웹서비스기획, PM, UI설계, 모바일UI, 웹UI, 자바스크립트, HTML, UI·UX디자인, Python, R"
남성의류 쇼핑몰 웹디자인(착용컷 및 제품보정),㈜피앤콤마,https://www.jobkorea.co.kr/Recruit/GI_Read/39275879?Oem_Code=C1&logpath=1&stext=파이썬&listno=115,대전 전지역 외,상시채용,"['경력무관', '학력무관', '정규직']","상품기획, 소셜커머스, 쇼핑몰, 오픈마켓, 문서관리, 홈페이지관리, 웹프로그래머, HDML, HTML, Java, mHTML, MySQL, php, Python, 일러스트레이터, 포토샵, HTML, 시각디자인, 일러스트레이터, 포토샵, 남성정장, 남성캐주얼디자인, 데님디자인, 의상디자인, 잡화디자인, 스튜디오, 영상편집, 포토그래퍼, 포토샵"
소프트웨어 / C# / C++ 경력자 초빙,㈜레이나,https://www.jobkorea.co.kr/Recruit/GI_Read/39265504?Oem_Code=C1&logpath=1&stext=파이썬&listno=116,대전 유성구,~11/02(수),"['경력3년↑', '대졸↑', '정규직']","전기, 전기기사, 전기설계, 전기회로, PLC, 응용프로그래머, C#, C++, Python, 소프트웨어"
[로봇사업본부] 서비스 기획자 채용,㈜트위니,https://www.jobkorea.co.kr/Recruit/GI_Read/39219485?Oem_Code=C1&logpath=1&stext=파이썬&listno=117,대전 유성구 외,상시채용,"['경력무관', '학력무관', '정규직']","소프트웨어개발, 모바일기획, 웹기획, 웹서비스기획, PM, UI설계, 모바일UI, 웹UI, 자바스크립트, HTML, UI·UX디자인, Python, R"
(주)쿠바 부문별 개발자 경력 채용,㈜쿠바,https://www.jobkorea.co.kr/Recruit/GI_Read/39231244?Oem_Code=C1&logpath=1&stext=파이썬&listno=118,대전 유성구,~10/30(일),"['경력3년↑', '학력무관', '정규직']","소프트웨어개발, 웹프로그래머, Java, jsp, php, Python, 안드로이드, C, C#"
함께할 소프트웨어 개발자를 찾습니다 (주요 사용언어 C),㈜엔엔에프텍,https://www.jobkorea.co.kr/Recruit/GI_Read/39228631?Oem_Code=C1&logpath=1&stext=파이썬&listno=119,대전 유성구,~10/30(일),"['신입·경력', '고졸↑', '정규직']","소프트웨어개발, 전산전공, Application, C, Linux, Python, 시스템프로그래머, 임베디드, 펌웨어, 소프트웨어"
[취업교육]UI/UX 기반 프론트엔드 웹개발자 양성 과정,TIS정보기술교육센터,https://www.jobkorea.co.kr/Recruit/GI_Read/39223745?Oem_Code=C1&logpath=1&stext=파이썬&listno=120,대전 전지역 외,~10/28(금),"['신입·경력', '학력무관', '연수생/교육생']","UI·UX디자인, 모바일앱개발, 소프트웨어개발, 솔루션, SI, SM, 웹에이전시, 웹프로덕션, 문서작성, 정보처리, 홈페이지관리, Excel, OA, 네트워크관리, 네트워크엔지니어, 서버관리자, 정보보안, CCNA, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, PM, .NET, 웹프로그래머, AJAX, Java, jsp, Python, 안드로이드, 응용프로그래머, 전산전공, C#, Java, Oracle, 웹퍼블리셔, 자바스크립트, CSS3, HTML5, HTML코딩, 모바일UI, 자바스크립트, CSS, HTML, UI·UX디자인, 그래픽디자인, 시각디자인, 포토샵, GUI, 광고디자인, 디지털디자인, 시각디자인, 영상디자인, 정보디자인"
[로봇사업본부] WEB 개발자 채용 (전문연구요원 가능),㈜트위니,https://www.jobkorea.co.kr/Recruit/GI_Read/39219425?Oem_Code=C1&logpath=1&stext=파이썬&listno=121,대전 유성구 외,상시채용,"['경력무관', '학력무관', '정규직']","소프트웨어개발, 모바일기획, 사용자평가, PM, UI설계, 웹프로그래머, HTML, Java, Python, SQL, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, HTML코딩"
[경력&신입] 웹인터페이스 개발자 채용-정규직,㈜아이티존,https://www.jobkorea.co.kr/Recruit/GI_Read/39187400?Oem_Code=C1&logpath=1&stext=파이썬&listno=122,대전 유성구,~10/25(화),"['신입·경력3년↑', '초대졸↑', '정규직']","솔루션, 웹개발, 프론트엔드, Tomcat, AJAX, Python, API, Java, WAS, 자바스크립트, CSS, HTML코딩, 인공지능(AI), 빅데이터"
연구소 소프트웨어 각 부문 채용공고,㈜대영에스텍,https://www.jobkorea.co.kr/Recruit/GI_Read/39177458?Oem_Code=C1&logpath=1&stext=파이썬&listno=123,대전 유성구,~10/24(월),"['신입·경력2년↑', '대졸↑', '정규직']","소프트웨어개발, 솔루션, API, C, C++, Linux, 시스템프로그래머, 임베디드, 펌웨어, Python, 인공지능(AI), 머신러닝(ML), 딥러닝, tensorflow"
IoT 개발자 모집,㈜마이렌,https://www.jobkorea.co.kr/Recruit/GI_Read/39175914?Oem_Code=C1&logpath=1&stext=파이썬&listno=124,충남 천안시,~10/24(월),"['경력무관', '학력무관', '정규직']","모바일App, 무선통신, 스마트폰, 텔레매틱스, Python, 인공지능(AI), 사물인터넷(IoT), 딥러닝, tensorflow"
(주)넷타겟 각 부문별 수시채용,㈜넷타겟,https://www.jobkorea.co.kr/Recruit/GI_Read/39155589?Oem_Code=C1&logpath=1&stext=파이썬&listno=125,대전 유성구 외,상시채용,"['경력무관', '대졸↑', '정규직']","바이오, 기획, 전략, 마케팅, 마케팅기획, 바이럴마케팅, 국내영업, 해외영업, 웹프로그래머, Python, API, Python, 연구관리, 연구원, R&D, 바이오, 제약, 의약품"
"기업부설연구소 기술개발팀 신규, 경력 채용",컨트롤에프,https://www.jobkorea.co.kr/Recruit/GI_Read/39151772?Oem_Code=C1&logpath=1&stext=파이썬&listno=126,대전 유성구,상시채용,"['신입·경력', '학력무관', '정규직']","Python, 머신러닝(ML)"
WEB APP개발 팀원 지원해주세요,딱플㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39132937?Oem_Code=C1&logpath=1&stext=파이썬&listno=127,대전 유성구,상시채용,"['경력', '학력무관', '정규직']","모바일App, HTML, Java, mHTML, php, Python, 아이폰, 안드로이드, ActiveX, Java, Python"
"R&D, 인공지능 및 응용소프트웨어 개발 경력자 모집",㈜오션소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39052835?Oem_Code=C1&logpath=1&stext=파이썬&listno=128,대전 유성구,~10/12(수),"['경력무관', '초대졸↑', '정규직 외']","소프트웨어개발, 솔루션, BigData, .NET, HTML, Java, Python, xml, C#, Java, MFC, Python"
웹 프로그래머 및 응용프로그래머 각 1명 모집,바이오브레인,https://www.jobkorea.co.kr/Recruit/GI_Read/39052434?Oem_Code=C1&logpath=1&stext=파이썬&listno=129,대전 서구 외,~10/12(수),"['신입·경력3년↑', '학력무관', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, BI, BigData, 웹프로그래머, Java, MS-SQL, MySQL, Python, 응용프로그래머, C#, C++, Java, MFC, 웹퍼블리셔, 자바스크립트, CSS, HTML5"
프로그램 개발자 신입 및 경력직 채용 공고,와이즈컨,https://www.jobkorea.co.kr/Recruit/GI_Read/39934209?Oem_Code=C1&logpath=1&stext=파이썬&listno=130,대전 유성구,~10/31(월),"['신입·경력', '대졸↑', '정규직']","전기제어, 전자제어, SI영업, 임베디드"
백엔드 테크리드 개발자 채용(2년 이상),㈜후딱,https://www.jobkorea.co.kr/Recruit/GI_Read/39914752?Oem_Code=C1&logpath=1&stext=파이썬&listno=131,대전 유성구,상시채용,"['경력2년↑', '학력무관', '정규직']",소프트웨어
웹디자이너 및 퍼블리셔 신입/경력,㈜블랙망고,https://www.jobkorea.co.kr/Recruit/GI_Read/39893832?Oem_Code=C1&logpath=1&stext=파이썬&listno=132,충남 천안시,~01/04(수),"['경력무관', '학력무관', '정규직']","웹에이전시, 웹표준, 자바스크립트, 포토샵, CSS, UI·UX디자인"
경영지원 및 일반사무,㈜블랙망고,https://www.jobkorea.co.kr/Recruit/GI_Read/39893458?Oem_Code=C1&logpath=1&stext=파이썬&listno=133,충남 천안시,~01/04(수),"['경력무관', '학력무관', '정규직']","웹에이전시, 경리, 급여관리"
[기술연구소]웹 및 응용프로그램 개발 정규직 채용,㈜IT코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/39891834?Oem_Code=C1&logpath=1&stext=파이썬&listno=134,대전 유성구,~11/05(토),"['경력', '초대졸↑', '정규직']","소프트웨어개발, SI, 웹프로그래머, 응용프로그래머, C#, C++, Java, 소프트웨어"
MCU 기반 임베디드 C 개발자 모집,㈜지에스아이오토모티브,https://www.jobkorea.co.kr/Recruit/GI_Read/39874530?Oem_Code=C1&logpath=1&stext=파이썬&listno=135,대전 유성구,상시채용,"['경력2년↑', '학력무관', '정규직']","유지보수, 펌웨어, 하드웨어"
(주)아이옵스 용인지역 신입/경력사원 채용(상시),㈜아이옵스,https://www.jobkorea.co.kr/Recruit/GI_Read/39867504?Oem_Code=C1&logpath=1&stext=파이썬&listno=136,대전 유성구 외,~10/16(일),"['경력무관', '대졸↑', '정규직']","정보처리기사, 소프트웨어"
2022년 하반기 (주)윕스 부문별 신입 및 경력사원 채용,㈜윕스,https://www.jobkorea.co.kr/Recruit/GI_Read/39838665?Oem_Code=C1&logpath=1&stext=파이썬&listno=137,대전 유성구 외,~10/13(목),"['신입·경력', '초대졸↑', '정규직 외']","컨설팅, 퍼블리싱, 검색엔진, 검색서비스, 기술가치평가, 데이터, 웹서비스, 자연어처리, 특허조사, 화면설계, AI, UI, 국내영업, 해외영업, 지적재산권"
"[효성계열사] 신화인터텍(주) 전략기획팀 ERP(IT)관리,경영관리 경력채용",신화인터텍㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39833458?Oem_Code=C1&logpath=1&stext=파이썬&listno=138,충남 천안시,~12/28(수),"['경력4년↑', '대졸↑', '정규직']","디스플레이, 정밀광학, LCD, 경영기획, 신규사업·BD, Java, jsp, php"
4. 은행/보험/증권/병원/웹기획/웹디자인(퍼블)/인프라컨설팅/PMO/QA/DA/DBA/TA/AA/ETL/MES/JAVA/안드로이드/C++/VC++/PRO-C/Java/C#.NET,토피아정보기술㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39822904?Oem_Code=C1&logpath=1&stext=파이썬&listno=139,충북 진천군 외,~10/13(목),"['경력3년↑', '학력무관', '정규직 외']","CRM, DW, ERP, OLAP, SI, Java, MiPlatform, ASP.NET, C#, Java, Oracle, HTML코딩, UI·UX"
(대전)꿀비 경력직 채용공고(임베디드),㈜꿀비,https://www.jobkorea.co.kr/Recruit/GI_Read/39812090?Oem_Code=C1&logpath=1&stext=파이썬&listno=140,대전 서구,~10/14(금),"['경력2년↑', '대졸↑', '정규직']","소프트웨어개발, 솔루션, Embedded, 임베디드"
소프트웨어 개발 (신입/경력)모집,㈜케이벨,https://www.jobkorea.co.kr/Recruit/GI_Read/39801161?Oem_Code=C1&logpath=1&stext=파이썬&listno=141,대전 유성구 외,~12/26(월),"['신입·경력1년↑', '대졸↑', '정규직']",소프트웨어
[솔탑] 2022년 각 부문별 신입/경력사원 모집,㈜솔탑,https://www.jobkorea.co.kr/Recruit/GI_Read/39764077?Oem_Code=C1&logpath=1&stext=파이썬&listno=142,대전 유성구 외,~12/22(목),"['신입·경력3년↑', '학력무관', '정규직']","솔루션, Java, MS-SQL, MySQL, xml, 설계엔지니어, 전기설비, 하드웨어"
(주)앰진 IT 기술개발 신입·경력 채용공고,㈜앰진,https://www.jobkorea.co.kr/Recruit/GI_Read/39758824?Oem_Code=C1&logpath=1&stext=파이썬&listno=143,대전 유성구,~11/21(월),"['신입·경력', '초대졸↑', '정규직']","네트워크보안, 보안소프트웨어, 정보보안, IDS"
[단단광학] 기술연구소 광기계설계 부문 신입/경력 연구원 채용,㈜단단,https://www.jobkorea.co.kr/Recruit/GI_Read/39733714?Oem_Code=C1&logpath=1&stext=파이썬&listno=144,대전 유성구,~12/19(월),"['신입·경력', '대졸↑', '정규직']","정밀광학, 2D, 3D설계, 기계설계, 기구설계, CAD"
IT 개발연구원 모집,㈜큐이노텍,https://www.jobkorea.co.kr/Recruit/GI_Read/39732719?Oem_Code=C1&logpath=1&stext=파이썬&listno=145,충남 천안시,~10/19(수),"['경력1년↑', '초대졸↑', '정규직']","IT컨설팅, ICT컨설팅, 자동제어, 데이터분석"
[플랜아이] AX사업부 프론트엔드&백엔드 프로그래머,㈜플랜아이,https://www.jobkorea.co.kr/Recruit/GI_Read/39649266?Oem_Code=C1&logpath=1&stext=파이썬&listno=146,대전 유성구,~12/12(월),"['경력2년↑', '학력무관', '정규직 외']","웹에이전시, Java, 병역특례, Java, 웹접근성, 웹퍼블리셔, 자바스크립트, CSS3, HTML5"
코아아이티 IT개발자 채용합니다,코아아이티,https://www.jobkorea.co.kr/Recruit/GI_Read/39552992?Oem_Code=C1&logpath=1&stext=파이썬&listno=147,충북 청주시,상시채용,"['신입·경력2년↑', '학력무관', '정규직']","유지보수, 컴퓨터, 하드웨어, 웹프로그래머"
웹개발(JAVA) 및 운영관리인원 채용,에스에이치네트웍스,https://www.jobkorea.co.kr/Recruit/GI_Read/39548486?Oem_Code=C1&logpath=1&stext=파이썬&listno=148,대전 유성구 외,~11/30(수),"['경력무관', '초대졸↑', '정규직']","소프트웨어개발, 솔루션, SI, 서버관리자, 웹프로그래머, HTML, jsp, MS-SQL, php, 응용프로그래머, CSS3, 소프트웨어"
㈜토모큐브 R&D 정규직/전문연구요원 모집,토모큐브,https://www.jobkorea.co.kr/Recruit/GI_Read/39540920?Oem_Code=C1&logpath=1&stext=파이썬&listno=149,대전 유성구 외,~11/29(화),"['신입·경력', '대졸↑', '정규직 외']","정밀광학, 인공지능(AI), 펌웨어, 하드웨어, 소프트웨어, 생명공학, 전기·전자, 연구·실험·기술, 의료·제약"
㈜마이크로인피니티 정규직 사원 모집,㈜마이크로인피니티,https://www.jobkorea.co.kr/Recruit/GI_Read/39518555?Oem_Code=C1&logpath=1&stext=파이썬&listno=150,대전 유성구 외,~10/31(월),"['신입·경력', '정규직', '대전 외']","전기기술, 전기제어, 구매관리, 외주관리, 자재관리, 자재구매, 자재구매기획, 시스템프로그래머, 임베디드, 유지보수, 하드웨어, 소프트웨어, 생산, 생산관리, 품질, 품질검사, 품질관리, 기술연구소, 기술직, 디스플레이, 생산기술, 전기·전자, 제품개발, 설계엔지니어, 임베디드, 전기, 전기·전자회로, 하드웨어"
[Perigee] 구조 설계 엔지니어 채용,페리지에어로스페이스㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39500346?Oem_Code=C1&logpath=1&stext=파이썬&listno=151,대전 대덕구,~11/24(목),"['경력무관', '학력무관', '정규직 외']","구조설계, 구조해석, 항공, 금속, 금형설계, 기구설계, 구조, 조선·항공·우주"
소프트웨어 정규직 개발자 채용,㈜바투잼,https://www.jobkorea.co.kr/Recruit/GI_Read/39485419?Oem_Code=C1&logpath=1&stext=파이썬&listno=152,대전 유성구,~10/23(일),"['신입·경력1년↑', '초대졸↑', '정규직']","C, C#, C++, 하드웨어, 소프트웨어"
프로그래밍 문법 및 알고리즘 강사/웹코딩 강사/마케팅 채용,비엔디,https://www.jobkorea.co.kr/Recruit/GI_Read/39475100?Oem_Code=C1&logpath=1&stext=파이썬&listno=153,대전 서구,~10/23(일),"['경력무관', '대졸↑', '계약직 외']","학원강사, IT학원, 마케팅, 컴퓨터학원강사, IT학원강사"
[정규직] 대전연구소 하드웨어 엔지니어 모집,동강엠텍㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39471190?Oem_Code=C1&logpath=1&stext=파이썬&listno=154,대전 유성구,상시채용,"['경력5년↑', '대졸↑', '정규직']","연구관리, 제품개발"
세종컴퓨터학원(보람동) IT 컴퓨터학원 강사님 모집,엔원,https://www.jobkorea.co.kr/Recruit/GI_Read/39403119?Oem_Code=C1&logpath=1&stext=파이썬&listno=155,대전 전지역 외,상시채용,"['경력무관', '고졸↑', '정규직 외']","학원강사, IT학원, 컴퓨터학원강사, IT학원강사"
유클리드소프트 기업부설연구소 연구원(데이터 리서처/엔지니어) 모집,㈜유클리드소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39392583?Oem_Code=C1&logpath=1&stext=파이썬&listno=156,대전 동구,~11/15(화),"['경력2년↑', '대졸↑', '정규직']","소프트웨어개발, BigData, SI, SM, 빅데이터, 데이터분석"
"세종컴퓨터학원 그래픽, IT 강사님 모집(프리랜서)",세종컴퓨터학원,https://www.jobkorea.co.kr/Recruit/GI_Read/39389037?Oem_Code=C1&logpath=1&stext=파이썬&listno=157,대전 전지역 외,상시채용,"['경력무관', '초대졸↑', '프리랜서']","IT학원, OA강의"
SBS아카데미 컴퓨터아트학원 천안지점 채용공고 (교육상담/마케팅/학원강사/인포데스크/총무),㈜에스씨에이아카데미천안,https://www.jobkorea.co.kr/Recruit/GI_Read/39334561?Oem_Code=C1&logpath=1&stext=파이썬&listno=158,충남 천안시,~11/08(화),"['경력무관', '고졸↑', '정규직 외']","마케팅, 바이럴마케팅, 디자인강의, 프로그램강의, OA강의, 교육상담, 수강생관리, 안내상담, 프로그램상담, 학원운영"
하반기 Web 프로그래머 및 SW 개발자 모집,㈜젠토,https://www.jobkorea.co.kr/Recruit/GI_Read/39185044?Oem_Code=C1&logpath=1&stext=파이썬&listno=159,대전 유성구 외,상시채용,"['경력무관', '대졸↑', '정규직']","소프트웨어개발, SI"
[램플코딩학원] 온오프라인 코딩 강사 채용,밸류에잇 벤처스(Valuate Ven,https://www.jobkorea.co.kr/Recruit/GI_Read/39133018?Oem_Code=C1&logpath=1&stext=파이썬&listno=160,대전 서구,상시채용,"['경력무관', '초대졸↑', '계약직']",IT학원강사
"취리히인스트루먼트 어플리케이션 엔지니어 (물리학, 전자공학 분야)",Zurich Instruments AG,https://www.jobkorea.co.kr/Recruit/GI_Read/39097650?Oem_Code=C1&logpath=1&stext=파이썬&listno=161,대전 전지역 외,~10/17(월),"['신입·경력', '석사↑', '정규직']","전자, 전기·전자, 연구·실험·기술"
Field Application Engineer - Quantum Technology,Zurich Instruments AG,https://www.jobkorea.co.kr/Recruit/GI_Read/39097597?Oem_Code=C1&logpath=1&stext=파이썬&listno=162,대전 전지역 외,~10/17(월),"['경력', '석사↑', '정규직']","전자, 전기·전자, 연구·실험·기술"
(외국계 반도체 장비 글로벌 대기업) Software Engineer (전임연구원-책임연구원),외국계 기업,https://www.jobkorea.co.kr/Recruit/GI_Read/39918781?PageGbn=HH&logpath=1&stext=파이썬&listno=163,충남 아산시 외,~01/07(토),"['경력3년↑', '초대졸↑', '정규직']","PLC(Omron, Straton), Python, PLC/소프트웨어 설계, 디스플레이, 반도체, 반도체생산, 반도체장비, 정밀광학, 기술연구소, 메카트로닉스, 반도체, 제어, R&D"
